file_path,file_name,file_size,page_scan_count,text_extract_ok,text_length,matched_keywords,matched_keyword_count,keyword_hit_positions,candidate_score,derived_ticker,derived_disclosure_date,derived_title,text_head_200,review_hint,review_priority
data/docs\140120260204547040.pdf,140120260204547040.pdf,697836,2,True,2002,自己株式,1,自己株式:1414,2,,2026-03-06,2026年７月期 第２四半期（中間期）決算短信〔日本基準〕(連結),2026年７月期 第２四半期（中間期）決算短信〔日本基準〕(連結) 2026年３月６日 上 場 会 社 名 日本駐車場開発株式会社 上場取引所 東 コ ー ド 番 号 2353 URL http://www.n-p-d.co.jp 代 表 者 (役職名) 代表取締役社長 (氏名) 巽 一久 問合せ先責任者 (役職名) 常務取締役管理本部長 (氏名) 渥美 謙介 (TEL)03-3218-1904 ,ticker未取得,low
data/docs\140120260217563972.pdf,140120260217563972.pdf,346192,2,True,1887,自己株式,1,自己株式:1377,3,3172,2026-03-05,2026年7月期 第2四半期（中間期）決算短信〔日本基準〕（連結）,2026年7月期 第2四半期（中間期）決算短信〔日本基準〕（連結） 2026年3月5日 上場会社名 ティーライフ株式会社 上場取引所 東 コード番号 3172 URL https://www.tealifeir.com/ 代表者 （役職名） 代表取締役社長 （氏名） 西上 節也 問合せ先責任者 （役職名） 取締役 経営戦略部長 （氏名） 齋藤 正和 TEL 0547-46-3459 半期報告書提出,候補,medium
data/docs\140120260220566631.pdf,140120260220566631.pdf,752004,2,True,2332,自己株式の取得,1,自己株式の取得:501,5,2288,2026-02-24,2026年３月期第３四半期決算短信〔日本基準〕（連結）,2026年２月24日 各 位 会 社 名 丸大食品株式会社 代表者名 代表取締役社長 佐藤 勇二 （コード番号 2288 東証プライム） 問合せ先 取締役経理部長 森本 芳史 （TEL 072－661－2518） 2026年３月期第３四半期決算短信〔日本基準〕（連結） （開示事項の追加及び公認会計士等による期中レビューの完了） 当社は、2026年２月５日に2026年３月期第３四半期決算短信〔日本基,候補,medium
data/docs\140120260222566954.pdf,140120260222566954.pdf,735523,2,True,3378,上限,1,上限:1920,3,8985,2026-02-25,ジャパン・ホテル・リート・アドバイザーズ株式会社,2026年２月25日 各 位 不動産投資信託証券発行者名 東京都渋谷区恵比寿四丁目１番18号 恵比寿ネオナート ジャパン・ホテル・リート投資法人 代表者名 執行役員 増田 要 （コード番号：8985） 資産運用会社名 ジャパン・ホテル・リート・アドバイザーズ株式会社 代表者名 代表取締役社長 青木 陽幸 問合せ先 取締役 コーポレート本部長 板橋 昇 TEL：03-6422-0530 2026年1,候補,medium
data/docs\140120260223566990.pdf,140120260223566990.pdf,134277,2,True,2544,自己株式の消却,1,"自己株式の消却:292, 新株予約権:265, 転換社債:260, 新株予約権付社債:265, 買入消却:468",1,8233,2026-02-24,（開示事項の経過）特別損失の計上及び業績予想の修正に関するお知らせ,2026年２月24日 各 位 会 社 名 株 式 会 社 髙 島 屋 代表者名 代表取締役社長 村田 善郎 （コード：8233 東証プライム市場） 問合せ先 広報・ＩＲ室長 大江 真理子 （TEL 03-3211-4111） （開示事項の経過）特別損失の計上及び業績予想の修正に関するお知らせ 当社は、2026年１月６日付の「当期業績予想について」及び2026年１月30日付の「特別損失の計上及び業 ,"cancel候補; 除外候補:買入消却,転換社債,新株予約権,新株予約権付社債",low
data/docs\140120260224567311.pdf,140120260224567311.pdf,278508,2,True,2336,上限,1,上限:1066,3,7047,2026-02-24,2026年３月期第３四半期 決算説明会 Ｑ＆Ａ,2026年２月24日 各 位 会 社 名 ポ ー ト 株 式 会 社 代 表 者 名 代表取締役社長 CEO 春 日 博 文 （コード番号：7047 東証グロース・福証 Q-Board） 常 務 執 行 役 員 兼 問い合わせ先 辻 本 拓 財 務 I R 部 長 TEL. 03-5937-6466 2026年３月期第３四半期 決算説明会 Ｑ＆Ａ 2026年２月16日（月）に、ポート株式会社（代表,候補,medium
data/docs\140120260224567628.pdf,140120260224567628.pdf,221780,2,True,1738,自己株式,1,自己株式:1254,3,2995,2026-02-24,2026年６月期 中間決算短信〔日本基準〕（非連結）,2026年６月期 中間決算短信〔日本基準〕（非連結） 2026年２月24日 上場会社名 ジェイレックス・コーポレーション株式会社 上場取引所 東 コード番号 2995 ＵＲＬ https://www.j-rex.co.jp 代表者 （役職名）代表取締役社長 （氏名）春田 英樹 問合せ先責任者 （役職名）取締役 常務執行役員 （氏名）鈴木 政保 ＴＥＬ 03（3345）6012 中間発行者情報提出予,候補,medium
data/docs\140120260225568394.pdf,140120260225568394.pdf,399114,2,True,1615,自己株式,1,自己株式:1269,2,,2026-02-25,2026年７月期 第２四半期（中間期）決算短信〔日本基準〕(非連結),2026年７月期 第２四半期（中間期）決算短信〔日本基準〕(非連結) 2026年２月25日 上 場 会 社 名 株式会社プラネット 上場取引所 東 コ ー ド 番 号 2391 URL https://www.planet-van.co.jp/ 代 表 者 (役職名) 代表取締役社長執行役員社長 (氏名) 坂田 政一 問合せ先責任者 (役職名) 取締役執行役員経営管理管轄役員 (氏名) 川村 渉 ,ticker未取得,low
data/docs\140120260225569178.pdf,140120260225569178.pdf,220545,2,True,2404,自己株式,1,自己株式:1857,3,7279,2026-03-06,2026年10月期 第1四半期決算短信〔日本基準〕（連結）,2026年10月期 第1四半期決算短信〔日本基準〕（連結） 2026年３月６日 上場会社名 株式会社ハイレックスコーポレーション 上場取引所 東 コード番号 7279 ＵＲＬ https://www.hi-lex.co.jp/ 代表者 （役職名）代表取締役社長 （氏名）寺浦 太郎 問合せ先責任者 （役職名）専務執行役員 管理本部長 （氏名）奥村 真 ＴＥＬ 0797-85-2500 配当支払開始予,候補,medium
data/docs\140120260303574105.pdf,140120260303574105.pdf,505348,2,True,1792,自己株式,1,自己株式:1310,2,,2026-03-03,2026年10月期 第１四半期決算短信〔日本基準〕(非連結),2026年10月期 第１四半期決算短信〔日本基準〕(非連結) 2026年３月３日 上 場 会 社 名 エイケン工業株式会社 上場取引所 東 コ ー ド 番 号 7265 URL https://www.eiken-kk.co.jp 代 表 者 (役職名) 代表取締役社長 (氏名) 宮治 友博 問合せ先責任者 (役職名) 専務取締役兼総務部長(氏名) 櫻井 英司 (TEL)0537-86-3105 ,ticker未取得,low
